,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AHCTF1,7.37021450281344,-0.0387689125808148,0.4227600332918,0.0187539339653995,0.99066685967817,0.999822123505485
AHCY,43.6739056483271,-0.0777642282779583,0.189251831838467,0.50960841377497,0.775068236128315,0.999822123505485
AHNAK,43.1566054059192,-0.794482522743818,0.347792440764789,4.97240158242121,0.0832255579681069,0.705801346657418
AHNAK2,5.40381711080739,-2.32615782648219,0.724489120994315,13.5296145471079,0.0011536698155385,0.0320709672922301
AHR,67.3605925786956,0.275620395672465,0.18920874978957,2.57908611201414,0.275396595162861,0.999822123505485
AHSA1,73.7083946959429,0.0946442013161957,0.149392345086694,0.966348860296009,0.616822221597918,0.999822123505485
AIDA,8.91609057131985,0.371351393028994,0.398788802671507,1.85397386890424,0.395744319353811,0.999822123505485
AIFM1,8.5933798489361,-0.0956363855743457,0.382555101814077,0.212434149285208,0.899229426981435,0.999822123505485
AIG1,4.9474399147376,0.0696471425720585,0.521874921844786,0.0177045920270658,0.991186770198611,0.999822123505485
AIMP1,12.9528000106703,-0.408160783783617,0.3237205874958,1.60647594470218,0.447876402301475,0.999822123505485
AIMP2,17.6479649118131,-0.408969238963811,0.292884264388441,2.04651782557781,0.359421705484063,0.999822123505485
AIP,11.4818772872981,0.0918652048182105,0.335498290243811,0.204762981647654,0.90268511988423,0.999822123505485
AK2,62.8400243529562,0.0760045970248701,0.15010352703834,0.280072540082259,0.869326704311672,0.999822123505485
AK4,11.1067452262939,-0.154639481772585,0.362080629810222,0.575654300400423,0.749891199581128,0.999822123505485
AK6,12.6540964276052,0.108773031888192,0.320695910831448,0.154366359984756,0.925720264643295,0.999822123505485
AKAP1,5.91433518023426,-0.412678442771038,0.478031664502553,0.75501737790281,0.68556724469794,0.999822123505485
AKAP12,13.2049725811461,-0.824325699330826,0.336390834964688,6.2164730392408,0.0446796776421445,0.485066751273166
AKAP13,15.2777606797394,0.315072719717378,0.308044610827656,1.05230200392094,0.590874874680312,0.999822123505485
AKAP8L,9.64342573307277,0.56545656983784,0.423693373306587,2.18301156475307,0.335710605809936,0.999822123505485
AKIP1,5.83819873985686,-0.0103017881454174,0.490950012277619,0.153063016435453,0.926323727019329,0.999822123505485
AKIRIN1,10.3172849087092,0.363897357835332,0.376510662377339,1.46095915151699,0.481677933629722,0.999822123505485
AKR1A1,19.49637904588,-0.218336348487798,0.267091731731699,0.777029112486076,0.678063351753104,0.999822123505485
AKR1B1,15.8504860710788,-0.214453278519894,0.299262297296195,0.957769984676496,0.619473724820749,0.999822123505485
AKR1B10,8.26961183862609,-1.47878985682039,0.445321942551672,12.209866022346,0.00223183087279144,0.0566141098064763
AKR1C3,27.8700413860893,0.153239243371141,0.234013120575265,1.33020337470249,0.514221235252569,0.999822123505485
AKT1,20.475618615931,0.195057766245613,0.261858827308994,0.892611925567572,0.639987929614391,0.999822123505485
AKT2,29.3122176130118,0.206900178882573,0.222040220559681,1.76509235343353,0.413728144471041,0.999822123505485
AKT3,11.5953123115359,-0.125763232193253,0.348088750880843,0.281859337491994,0.868550395788083,0.999822123505485
AKTIP,7.42874107367776,-0.216349248837548,0.459908121140665,0.245513170034272,0.884478931783905,0.999822123505485
